accidents,speeding,alcohol,not_distracted,no_previous,ins_premium,ins_losses,state,region,division
18.8,7.332,5.64,18.048,15.04,784.55,145.08,AL,South,East South Central
18.1,7.421,4.525,16.29,17.014,1053.48,133.93,AK,West,Pacific
18.6,6.51,5.208,15.624,17.856,899.47,110.35,AZ,West,Mountain
22.4,4.032,5.824,21.056,21.28,827.34,142.39,AR,South,West South Central
12,4.2,3.36,10.92,10.68,878.41,165.63,CA,West,Pacific
13.6,5.032,3.808,10.744,12.92,835.5,139.91,CO,West,Mountain
10.8,4.968,3.888,9.396,8.856,1068.73,167.02,CT,Northeast,New England
16.2,6.156,4.86,14.094,16.038,1137.87,151.48,DE,South,South Atlantic
5.9,2.006,1.593,5.9,5.9,1273.89,136.05,DC,South,South Atlantic
17.9,3.759,5.191,16.468,16.826,1160.13,144.18,FL,South,South Atlantic
15.6,2.964,3.9,14.82,14.508,913.15,142.8,GA,South,South Atlantic
17.5,9.45,7.175,14.35,15.225,861.18,120.92,HI,West,Pacific
15.3,5.508,4.437,13.005,14.994,641.96,82.75,ID,West,Mountain
12.8,4.608,4.352,12.032,12.288,803.11,139.15,IL,Midwest,East North Central
14.5,3.625,4.205,13.775,13.775,710.46,108.92,IN,Midwest,East North Central
15.7,2.669,3.925,15.229,13.659,649.06,114.47,IA,Midwest,West North Central
17.8,4.806,4.272,13.706,15.13,780.45,133.8,KS,Midwest,West North Central
21.4,4.066,4.922,16.692,16.264,872.51,137.13,KY,South,East South Central
20.5,7.175,6.765,14.965,20.09,1281.55,194.78,LA,South,West South Central
15.1,5.738,4.53,13.137,12.684,661.88,96.57,ME,Northeast,New England
12.5,4.25,4,8.875,12.375,1048.78,192.7,MD,South,South Atlantic
8.2,1.886,2.87,7.134,6.56,1011.14,135.63,MA,Northeast,New England
14.1,3.384,3.948,13.395,10.857,1110.61,152.26,MI,Midwest,East North Central
9.6,2.208,2.784,8.448,8.448,777.18,133.35,MN,Midwest,West North Central
17.6,2.64,5.456,1.76,17.6,896.07,155.77,MS,South,East South Central
16.1,6.923,5.474,14.812,13.524,790.32,144.45,MO,Midwest,West North Central
21.4,8.346,9.416,17.976,18.19,816.21,85.15,MT,West,Mountain
14.9,1.937,5.215,13.857,13.41,732.28,114.82,NE,Midwest,West North Central
14.7,5.439,4.704,13.965,14.553,1029.87,138.71,NV,West,Mountain
11.6,4.06,3.48,10.092,9.628,746.54,120.21,NH,Northeast,New England
11.2,1.792,3.136,9.632,8.736,1301.52,159.85,NJ,Northeast,Middle Atlantic
18.4,3.496,4.968,12.328,18.032,869.85,120.75,NM,West,Mountain
12.3,,3.567,10.824,9.84,1234.31,150.01,NY,Northeast,Middle Atlantic
16.8,6.552,5.208,15.792,13.608,708.24,127.82,NC,South,South Atlantic
23.9,5.497,10.038,23.661,20.554,688.75,109.72,ND,Midwest,West North Central
14.1,3.948,4.794,13.959,11.562,697.73,133.52,OH,Midwest,East North Central
19.9,6.368,5.771,18.308,18.706,881.51,178.86,OK,South,West South Central
12.8,4.224,3.328,8.576,11.52,804.71,104.61,OR,West,Pacific
18.2,9.1,5.642,17.472,16.016,905.99,153.86,PA,Northeast,Middle Atlantic
17.2,7.1,40.642,17.472,16.016,905.99,153.86,PR,Territory,Territory
11.1,3.774,4.218,10.212,8.769,1148.99,148.58,RI,Northeast,New England
23.9,9.082,9.799,22.944,19.359,858.97,116.29,SC,South,South Atlantic
19.4,6.014,6.402,19.012,16.684,669.31,96.87,SD,Midwest,West North Central
19.5,4.095,5.655,15.99,15.795,767.91,155.57,TN,South,East South Central
19.4,7.76,7.372,17.654,16.878,1004.75,156.83,TX,South,West South Central
11.3,4.859,1.808,9.944,10.848,809.38,109.48,UT,West,Mountain
13.6,4.08,4.08,13.056,12.92,716.2,109.61,VT,Northeast,New England
12.7,2.413,3.429,11.049,11.176,768.95,153.72,VA,South,South Atlantic
10.6,4.452,3.498,8.692,9.116,890.03,111.62,WA,West,Pacific
23.8,8.092,6.664,23.086,20.706,992.61,152.56,WV,South,South Atlantic
13.8,4.968,4.554,5.382,11.592,670.31,106.62,WI,Midwest,East North Central
17.4,7.308,5.568,14.094,15.66,791.14,122.04,WY,West,Mountain
